Generator,offwind-ac,offwind-dc
5736 offwind-dc,,28595.803656988995
5737 offwind-dc,,27080.489967758927
5741 offwind-ac,40785.9250764852,
5741 offwind-dc,,30381.695148884955
5742 offwind-ac,21449.712789479825,
5742 offwind-dc,,15978.74721901167
5743 offwind-ac,22272.295952324013,
5744 offwind-ac,26604.394687237724,
5744 offwind-dc,,19820.794322821213
5745 offwind-ac,30344.6743939127,
5745 offwind-dc,,22605.68636027255
5768 offwind-ac,24549.509555856224,
5768 offwind-dc,,18290.101332003145
6300 offwind-ac,26209.233964847288,
6300 offwind-dc,,19522.891319447383
