utc_timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2020-01-01 00:00:00,1160.490162319406,5768.2,1386.63,8700.4175,4063,7012.49,5549.62,42612.3075,3229.98,779.1,22162,9237.4,63142,31770.5,5219.17,1736,4083.9,3004.605,21542,1069.29,447.92,633,427.0,1005.0,11184.23,15786.89,14053.13,4972.1,5796.0,5514,14860,1167.85,2701.0
2020-01-01 01:00:00,1077.732354957892,5591.9,1317.19,8320.2725,3924,7134.25,5559.53,41487.9825,3124.34,759.2,20891,9141.2,61612,31271.5,4910.21,1631,3809.885,2848.36,20270,1031.06,430.8225,607,395.0,945.0,10984.055,15532.0,13563.78,4806.2,5621.0,5290,14595,1128.24,2658.0
2020-01-01 02:00:00,1007.2001327747839,5319.3,1221.62,8000.68,3838,6972.69,5496.27,40301.6875,3023.5,743.3,19708,9148.7,58419,29567.0,4677.46,1557,3610.155,2677.155,19148,1011.58,422.0275,595,367.0,879.0,10686.0425,15426.54,13111.76,4549.8,5523.0,4960,14204,1099.31,2574.0
2020-01-01 03:00:00,940.4296291081079,5249.1,1254.54,7795.5275,3795,7580.84,5499.57,40296.9325,2942.83,730.4,18960,9206.3,56268,26835.5,4571.97,1513,3551.7875,2524.395,18618,1031.18,416.7575,596,351.0,829.0,10489.3225,15321.06,12942.73,4296.6,5484.0,4715,14263,1089.39,2570.0
2020-01-01 04:00:00,942.310488366324,5380.8,1224.99,7783.8225,3800,7179.81,5505.09,40047.5875,2965.43,747.5,18697,9432.3,55937,24979.0,4629.67,1508,3570.1175,2466.51,18799,1056.07,420.4475,612,344.0,811.0,10579.9125,15248.27,12969.75,4122.3,5456.0,4481,14257,1115.57,2594.0
2020-01-01 05:00:00,922.561466155054,5487.0,1236.52,7846.8575,3886,7123.02,5500.11,38965.515,3069.91,759.7,18933,9419.2,56162,25267.5,4720.0,1548,3657.3675,2409.54,19690,1076.88,422.6775,629,344.0,811.0,10781.3775,15454.12,13124.85,4034.5,5453.0,4430,14453,1171.04,2626.0
2020-01-01 06:00:00,880.2421328451899,5833.3,1222.33,7752.6875,4071,7103.05,5565.16,39469.7825,3128.97,768.9,19326,9558.2,56390,27447.0,4909.1,1551,3709.675,2429.04,20272,1092.37,437.3675,632,346.0,775.0,11091.295,15880.4,13035.93,4026.1,5428.0,4370,14888,1213.51,2631.0
2020-01-01 07:00:00,886.825140248946,6143.7,1280.16,7895.54,4304,6947.14,5563.7,40198.105,3237.48,775.9,19259,9522.3,56153,28942.0,5404.74,1664,3779.2625,2480.35,20568,1113.31,441.97,637,379.0,806.0,11393.1925,16240.53,12978.09,3953.4,5493.0,4518,15327,1266.63,2698.0
2020-01-01 08:00:00,956.416932802946,6408.1,1378.75,8103.485,4443,6991.91,5945.76,42488.5125,3395.84,818.7,20008,9578.0,56766,30357.0,5983.89,1817,3871.72,2520.16,21594,1159.63,446.29,677,416.0,858.0,11710.44,16472.34,13482.56,3947.7,5533.0,4863,15502,1323.4,2819.0
2020-01-01 09:00:00,986.510680934406,6657.0,1463.55,8361.9025,4499,7167.09,6259.56,44675.1,3598.67,832.0,21791,9680.6,58512,33079.0,6549.02,1926,3920.2025,2611.97,22784,1207.68,462.9225,712,440.0,908.0,12173.5575,16792.37,14094.81,4295.1,5566.0,5114,15972,1331.23,2906.0
2020-01-01 10:00:00,1030.710873502486,6745.7,1418.05,8651.0225,4493,7544.69,6372.95,46804.285,3711.7,849.2,23172,9676.9,60243,35966.5,6656.94,1984,3986.83,2866.57,23891,1231.81,489.8725,723,445.0,950.0,12466.27,17192.19,14645.19,4712.0,5596.0,5232,16400,1339.03,3076.0
2020-01-01 11:00:00,1051.400325342864,6699.8,1405.89,8760.5725,4400,7486.56,6359.95,48182.5425,3778.43,866.2,23768,9684.3,62966,38130.0,6326.15,1952,4045.435,3102.86,24072,1240.74,503.515,729,439.0,960.0,12610.5175,17295.68,15126.64,5079.6,5611.0,5290,16540,1311.9,3031.0
2020-01-01 12:00:00,1064.5663401503782,6533.9,1431.62,8782.3175,4324,7806.47,6421.07,47870.7475,3739.62,866.0,24322,9774.8,62086,39651.5,5740.08,1852,4055.2975,3294.475,23117,1247.96,499.915,726,427.0,961.0,12679.285,17366.78,15676.05,5252.9,5616.0,5237,16734,1272.18,3023.0
2020-01-01 13:00:00,1056.102473488406,6452.4,1440.27,8569.1475,4351,7720.05,6375.35,46179.025,3711.19,909.5,24285,10113.0,59477,40167.5,5721.83,1776,4143.81,3374.625,22356,1258.98,492.0025,744,418.0,1069.0,12794.4,17581.86,15778.7,5004.0,5694.0,5137,16879,1248.97,3011.0
