,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
0,Borssele,Hard Coal,Steam Turbine,PP,NL,485.0,,1973.0,1973.0,2034.0,51.4332,3.716,,0.0,0.0,0.0,{'49W000000000054X'},"{'BEYONDCOAL': {'BEYOND-NL-2'}, 'ENTSOE': {'49W000000000054X'}, 'GEM': {'G500496'}, 'OPSD': {'OEU-97'}, 'WIKIPEDIA': {'WIKIPEDIA-132'}, 'GEO': {'GEO-2401'}, 'GPD': {'WRI1019300'}}",5079
1,Tnz Elsta,Natural Gas,CCGT,CHP,NL,455.0,,1998.0,1998.0,2038.0,51.3331,3.7787,,0.0,0.0,0.0,{'49W000000000048S'},"{'ENTSOE': {'49W000000000048S'}, 'GEM': {'L400519'}, 'OPSD': {'OEU-129'}, 'GEO': {'GEO-44511'}, 'GPD': {'WRI1005509'}}",5079
2,Rijnmond,Natural Gas,CCGT,CHP,NL,790.0,0.2073234811165845,2004.0,2004.0,2044.0,51.890175,4.354686,,0.0,0.0,0.0,{'49W0000000001128'},"{'ENTSOE': {'49W0000000001128'}, 'GEM': {'L406400'}, 'OPSD': {'OEU-157', 'OEU-156'}, 'GEO': {'GEO-44512', 'GEO-44497'}, 'GPD': {'WRI1005515'}}",5090
3,Flevo,Natural Gas,CCGT,PP,NL,872.1,0.59,2010.0,2010.0,2050.0,52.5772,5.53,,0.0,0.0,0.0,"{'49W000000000072V', '49W000000000074R'}","{'ENTSOE': {'49W000000000074R', '49W000000000072V'}, 'GEM': {'L400544'}, 'OPSD': {'OEU-149', 'OEU-150'}, 'GEO': {'GEO-44501'}, 'GPD': {'WRI1019290'}}",5891
4,Sloecentrale 2,Natural Gas,CCGT,CHP,NL,870.0,0.59,2009.0,2009.0,2049.0,51.4482,3.6928,,0.0,0.0,0.0,"{'49W0000000000512', '49W000000000117Z'}","{'ENTSOE': {'49W000000000117Z', '49W0000000000512'}, 'GEM': {'L400564'}, 'OPSD': {'OEU-159', 'OEU-160'}, 'GEO': {'GEO-44496'}, 'GPD': {'WRI1019287'}}",5079
5,Eemshaven,Natural Gas,CCGT,PP,NL,1410.0,0.58,2013.0,2013.0,2053.0,53.4502,6.8548,,0.0,0.0,0.0,{'49W000000000044-'},"{'ENTSOE': {'49W000000000044-'}, 'GEM': {'L400541'}, 'OPSD': {'OEU-145', 'OEU-147', 'OEU-146'}, 'GEO': {'GEO-44513'}, 'GPD': {'WRI1019311'}}",5749
6,Diemen,Natural Gas,CCGT,CHP,NL,684.0,0.3661198288159771,1995.0,1995.0,2035.0,52.3389,5.0213,,0.0,0.0,0.0,{'49W0000000000431'},"{'ENTSOE': {'49W0000000000431'}, 'GEM': {'L400509'}, 'OPSD': {'OEU-102', 'OEU-101'}, 'GEO': {'GEO-44499', 'GEO-44500'}, 'GPD': {'WRI1019310'}}",5094
7,Delesto,Natural Gas,CCGT,CHP,NL,343.0,0.3771428571428571,1987.0,1987.0,2027.0,53.3185,6.9544,,0.0,0.0,0.0,{'49W000000000152X'},"{'ENTSOE': {'49W000000000152X'}, 'GEM': {'L400502'}, 'OPSD': {'OEU-124', 'OEU-125'}, 'GEO': {'GEO-41986', 'GEO-45078'}, 'GPD': {'WRI1005506'}}",5764
8,Eemshaven,Hard Coal,Steam Turbine,PP,NL,1604.1703044199232,,2014.0,2014.0,2029.0,53.4405,6.8612,,0.0,0.0,0.0,{'49W000000000066Q'},"{'BEYONDCOAL': {'BEYOND-NL-12'}, 'ENTSOE': {'49W000000000066Q'}, 'GEM': {'G102597', 'G102596'}, 'GEO': {'GEO-44523'}, 'GPD': {'WRI1019289'}}",5752
9,Maasvlakte,Hard Coal,Steam Turbine,PP,NL,1102.6366000495566,,1975.0,1975.0,2029.0,51.9586,4.0264,,0.0,0.0,0.0,{'49W000000000102B'},"{'BEYONDCOAL': {'BEYOND-NL-10'}, 'ENTSOE': {'49W000000000102B'}, 'GEM': {'G106535'}, 'GEO': {'GEO-44521', 'GEO-44522'}, 'GPD': {'WRI1019295', 'WRI1019296'}}",5062
10,Amer,Hard Coal,Steam Turbine,CHP,NL,601.1028956791896,,1979.0,1979.0,2024.0,51.7078,4.8439,,0.0,0.0,0.0,{'49W000000000070Z'},"{'BEYONDCOAL': {'BEYOND-NL-4'}, 'ENTSOE': {'49W000000000070Z'}, 'GEM': {'G100156', 'G100157'}, 'GEO': {'GEO-44517'}}",5093
11,Den Haag,Natural Gas,CCGT,CHP,NL,112.0,,1982.0,1982.0,2022.0,52.07659,4.29065,,0.0,0.0,0.0,{'49W0000000000342'},"{'ENTSOE': {'49W0000000000342'}, 'GEM': {'L400508'}, 'OPSD': {'OEU-127'}, 'GEO': {'GEO-44498'}}",5088
12,Moerdijk,Natural Gas,CCGT,CHP,NL,766.0,0.3251629726205997,1997.0,1997.0,2037.0,51.68506,4.58094,,0.0,0.0,0.0,{'49W000000000063W'},"{'ENTSOE': {'49W000000000063W'}, 'GEM': {'L400548'}, 'OPSD': {'OEU-151', 'OEU-152'}, 'GEO': {'GEO-44515', 'GEO-44514'}}",5092
13,Roca,Natural Gas,CCGT,CHP,NL,220.0,,1982.0,1982.0,2022.0,51.95365999999999,4.56155,,0.0,0.0,0.0,{'49W0000000001047'},"{'ENTSOE': {'49W0000000001047'}, 'GEM': {'L400557'}, 'OPSD': {'OEU-155', 'OEU-154', 'OEU-115'}, 'GEO': {'GEO-44529'}}",5091
14,Swentibold,Natural Gas,CCGT,CHP,NL,209.0,,1999.0,1999.0,2039.0,50.9721,5.7911,,0.0,0.0,0.0,{'49W000000000061-'},"{'ENTSOE': {'49W000000000061-'}, 'GEM': {'L400568'}, 'OPSD': {'OEU-116'}, 'GEO': {'GEO-44516'}}",4687
15,Almere 2,Natural Gas,CCGT,CHP,NL,120.0,,1987.0,1987.0,2027.0,52.3883,5.2158,,0.0,0.0,0.0,"{nan, nan}","{'GEM': {'L400492'}, 'OPSD': {'OEU-92', 'OEU-91'}, 'GEO': {'GEO-44530'}}",5094
16,Leiden,Natural Gas,CCGT,CHP,NL,85.0,,1982.0,2004.0,2044.0,52.1641,4.4941,,0.0,0.0,0.0,{nan},"{'GEM': {'L400536'}, 'OPSD': {'OEU-141'}, 'GEO': {'GEO-45076'}}",5089
17,Maasvlakte Ucml,Natural Gas,CCGT,CHP,NL,70.0,,2003.0,2003.0,2043.0,51.96,4.0254,,0.0,0.0,0.0,{nan},"{'GEM': {'L400540'}, 'OPSD': {'OEU-161'}, 'GEO': {'GEO-44527'}}",5062
